Turn: R30    | Dial: 50 -> 80 | Zero passes: 0
Turn: R82    | Dial: 18 ->  0 | Zero passes: 1558  <== HIT 0!
Turn: R12    | Dial:  0 -> 12 | Zero passes: 1558
Turn: L83    | Dial: 12 -> 29 | Zero passes: 1559
Turn: L40    | Dial: 29 -> 89 | Zero passes: 1560
Turn: L136   | Dial: 89 -> 53 | Zero passes: 1561
Turn: L53    | Dial: 53 ->  0 | Zero passes: 1562  <== HIT 0!
Turn: R51    | Dial:  0 -> 51 | Zero passes: 1562
Turn: R51    | Dial: 51 ->  2 | Zero passes: 1563
Turn: L94    | Dial:  2 ->  8 | Zero passes: 1564
Turn: R90    | Dial:  8 -> 98 | Zero passes: 1564
Turn: R90    | Dial: 98 -> 88 | Zero passes: 1565
Turn: L772   | Dial: 88 -> 16 | Zero passes: 1572
Turn: L716   | Dial: 16 ->  0 | Zero passes: 1580  <== HIT 0!
Turn: L15    | Dial:  0 -> 85 | Zero passes: 1580
Turn: R78    | Dial: 85 -> 63 | Zero passes: 1581
Turn: R52    | Dial: 63 -> 15 | Zero passes: 1582
Turn: L15    | Dial: 15 ->  0 | Zero passes: 1583  <== HIT 0!
Turn: R24    | Dial:  0 -> 24 | Zero passes: 1583
Turn: R12    | Dial: 24 -> 36 | Zero passes: 1583
Turn: R84    | Dial: 36 -> 20 | Zero passes: 1584
Turn: R98    | Dial: 20 -> 18 | Zero passes: 1585
Turn: R82    | Dial: 18 ->  0 | Zero passes: 1586  <== HIT 0!
Turn: L227   | Dial:  0 -> 73 | Zero passes: 1588
Turn: R93    | Dial: 73 -> 66 | Zero passes: 1589
Turn: L166   | Dial: 66 ->  0 | Zero passes: 1591  <== HIT 0!
Turn: L52    | Dial:  0 -> 48 | Zero passes: 1591
Turn: R52    | Dial: 48 ->  0 | Zero passes: 1592  <== HIT 0!
Turn: R69    | Dial:  0 -> 69 | Zero passes: 1592
Turn: L8     | Dial: 69 -> 61 | Zero passes: 1592
Turn: R26    | Dial: 61 -> 87 | Zero passes: 1592
Turn: L87    | Dial: 87 ->  0 | Zero passes: 1593  <== HIT 0!
Turn: L70    | Dial:  0 -> 30 | Zero passes: 1593
Turn: R70    | Dial: 30 ->  0 | Zero passes: 1594  <== HIT 0!
Turn: L11    | Dial:  0 -> 89 | Zero passes: 1594
Turn: R934   | Dial: 89 -> 23 | Zero passes: 1604
Turn: R98    | Dial: 23 -> 21 | Zero passes: 1605
Turn: L10    | Dial: 21 -> 11 | Zero passes: 1605
Turn: R43    | Dial: 11 -> 54 | Zero passes: 1605
Turn: L31    | Dial: 54 -> 23 | Zero passes: 1605
Turn: L315   | Dial: 23 ->  8 | Zero passes: 1608
Turn: L7     | Dial:  8 ->  1 | Zero passes: 1608
Turn: L8     | Dial:  1 -> 93 | Zero passes: 1609
Turn: R20    | Dial: 93 -> 13 | Zero passes: 1610
Turn: R87    | Dial: 13 ->  0 | Zero passes: 1611  <== HIT 0!
Turn: R84    | Dial:  0 -> 84 | Zero passes: 1611
Turn: L41    | Dial: 84 -> 43 | Zero passes: 1611
Turn: L43    | Dial: 43 ->  0 | Zero passes: 1612  <== HIT 0!
Turn: L832   | Dial:  0 -> 68 | Zero passes: 1620
Turn: R846   | Dial: 68 -> 14 | Zero passes: 1629
Turn: L14    | Dial: 14 ->  0 | Zero passes: 1630  <== HIT 0!
Turn: R6     | Dial:  0 ->  6 | Zero passes: 1630
Turn: R338   | Dial:  6 -> 44 | Zero passes: 1633
Turn: L72    | Dial: 44 -> 72 | Zero passes: 1634
Turn: R28    | Dial: 72 ->  0 | Zero passes: 1635  <== HIT 0!
Turn: R44    | Dial:  0 -> 44 | Zero passes: 1635
Turn: L644   | Dial: 44 ->  0 | Zero passes: 1642  <== HIT 0!
Turn: L10    | Dial:  0 -> 90 | Zero passes: 1642
Turn: L51    | Dial: 90 -> 39 | Zero passes: 1642
Turn: R890   | Dial: 39 -> 29 | Zero passes: 1651
Turn: L13    | Dial: 29 -> 16 | Zero passes: 1651
Turn: L54    | Dial: 16 -> 62 | Zero passes: 1652
Turn: R767   | Dial: 62 -> 29 | Zero passes: 1660
Turn: L67    | Dial: 29 -> 62 | Zero passes: 1661
Turn: L817   | Dial: 62 -> 45 | Zero passes: 1669
Turn: R90    | Dial: 45 -> 35 | Zero passes: 1670
Turn: L4     | Dial: 35 -> 31 | Zero passes: 1670
Turn: R69    | Dial: 31 ->  0 | Zero passes: 1671  <== HIT 0!
Turn: L73    | Dial:  0 -> 27 | Zero passes: 1671
Turn: R21    | Dial: 27 -> 48 | Zero passes: 1671
Turn: R52    | Dial: 48 ->  0 | Zero passes: 1672  <== HIT 0!
Turn: R59    | Dial:  0 -> 59 | Zero passes: 1672
Turn: R94    | Dial: 59 -> 53 | Zero passes: 1673
Turn: R35    | Dial: 53 -> 88 | Zero passes: 1673
Turn: L88    | Dial: 88 ->  0 | Zero passes: 1674  <== HIT 0!
Turn: L53    | Dial:  0 -> 47 | Zero passes: 1674
Turn: R553   | Dial: 47 ->  0 | Zero passes: 1680  <== HIT 0!
Turn: L67    | Dial:  0 -> 33 | Zero passes: 1680
Turn: L51    | Dial: 33 -> 82 | Zero passes: 1681
Turn: R18    | Dial: 82 ->  0 | Zero passes: 1682  <== HIT 0!
Turn: L93    | Dial:  0 ->  7 | Zero passes: 1682
Turn: R88    | Dial:  7 -> 95 | Zero passes: 1682
Turn: R83    | Dial: 95 -> 78 | Zero passes: 1683
Turn: R6     | Dial: 78 -> 84 | Zero passes: 1683
Turn: L48    | Dial: 84 -> 36 | Zero passes: 1683
Turn: R64    | Dial: 36 ->  0 | Zero passes: 1684  <== HIT 0!
Turn: R5     | Dial:  0 ->  5 | Zero passes: 1684
Turn: L59    | Dial:  5 -> 46 | Zero passes: 1685
Turn: L2     | Dial: 46 -> 44 | Zero passes: 1685
Turn: R56    | Dial: 44 ->  0 | Zero passes: 1686  <== HIT 0!
Turn: L921   | Dial:  0 -> 79 | Zero passes: 1695
Turn: R927   | Dial: 79 ->  6 | Zero passes: 1705
Turn: L6     | Dial:  6 ->  0 | Zero passes: 1706  <== HIT 0!
Turn: L53    | Dial:  0 -> 47 | Zero passes: 1706
Turn: R53    | Dial: 47 ->  0 | Zero passes: 1707  <== HIT 0!
Turn: R796   | Dial:  0 -> 96 | Zero passes: 1714
Turn: L96    | Dial: 96 ->  0 | Zero passes: 1715  <== HIT 0!
Turn: R61    | Dial:  0 -> 61 | Zero passes: 1715
Turn: R39    | Dial: 61 ->  0 | Zero passes: 1716  <== HIT 0!
Turn: R52    | Dial:  0 -> 52 | Zero passes: 1716
Turn: R24    | Dial: 52 -> 76 | Zero passes: 1716
Turn: R2     | Dial: 76 -> 78 | Zero passes: 1716
Turn: R22    | Dial: 78 ->  0 | Zero passes: 1717  <== HIT 0!
Turn: R84    | Dial:  0 -> 84 | Zero passes: 1717
Turn: R93    | Dial: 84 -> 77 | Zero passes: 1718
Turn: L12    | Dial: 77 -> 65 | Zero passes: 1718
Turn: L43    | Dial: 65 -> 22 | Zero passes: 1718
Turn: R678   | Dial: 22 ->  0 | Zero passes: 1725  <== HIT 0!
Turn: L4     | Dial:  0 -> 96 | Zero passes: 1725
Turn: R78    | Dial: 96 -> 74 | Zero passes: 1726
Turn: L267   | Dial: 74 ->  7 | Zero passes: 1728
Turn: R29    | Dial:  7 -> 36 | Zero passes: 1728
Turn: L36    | Dial: 36 ->  0 | Zero passes: 1729  <== HIT 0!
Turn: L28    | Dial:  0 -> 72 | Zero passes: 1729
Turn: L672   | Dial: 72 ->  0 | Zero passes: 1736  <== HIT 0!
Turn: L52    | Dial:  0 -> 48 | Zero passes: 1736
Turn: R293   | Dial: 48 -> 41 | Zero passes: 1739
Turn: L67    | Dial: 41 -> 74 | Zero passes: 1740
Turn: R26    | Dial: 74 ->  0 | Zero passes: 1741  <== HIT 0!
Turn: L76    | Dial:  0 -> 24 | Zero passes: 1741
Turn: R76    | Dial: 24 ->  0 | Zero passes: 1742  <== HIT 0!
Turn: L81    | Dial:  0 -> 19 | Zero passes: 1742
Turn: L98    | Dial: 19 -> 21 | Zero passes: 1743
Turn: L21    | Dial: 21 ->  0 | Zero passes: 1744  <== HIT 0!
Turn: L554   | Dial:  0 -> 46 | Zero passes: 1749
Turn: L6     | Dial: 46 -> 40 | Zero passes: 1749
Turn: R60    | Dial: 40 ->  0 | Zero passes: 1750  <== HIT 0!
Turn: L14    | Dial:  0 -> 86 | Zero passes: 1750
Turn: L86    | Dial: 86 ->  0 | Zero passes: 1751  <== HIT 0!
Turn: R361   | Dial:  0 -> 61 | Zero passes: 1754
Turn: R29    | Dial: 61 -> 90 | Zero passes: 1754
Turn: R47    | Dial: 90 -> 37 | Zero passes: 1755
Turn: L37    | Dial: 37 ->  0 | Zero passes: 1756  <== HIT 0!
Turn: R37    | Dial:  0 -> 37 | Zero passes: 1756
Turn: L37    | Dial: 37 ->  0 | Zero passes: 1757  <== HIT 0!
Turn: L75    | Dial:  0 -> 25 | Zero passes: 1757
Turn: R98    | Dial: 25 -> 23 | Zero passes: 1758
Turn: R77    | Dial: 23 ->  0 | Zero passes: 1759  <== HIT 0!
Turn: L286   | Dial:  0 -> 14 | Zero passes: 1761
Turn: R86    | Dial: 14 ->  0 | Zero passes: 1762  <== HIT 0!
Turn: R15    | Dial:  0 -> 15 | Zero passes: 1762
Turn: R35    | Dial: 15 -> 50 | Zero passes: 1762
Turn: R10    | Dial: 50 -> 60 | Zero passes: 1762
Turn: R40    | Dial: 60 ->  0 | Zero passes: 1763  <== HIT 0!
Turn: L66    | Dial:  0 -> 34 | Zero passes: 1763
Turn: R66    | Dial: 34 ->  0 | Zero passes: 1764  <== HIT 0!
Turn: R46    | Dial:  0 -> 46 | Zero passes: 1764
Turn: L30    | Dial: 46 -> 16 | Zero passes: 1764
Turn: R527   | Dial: 16 -> 43 | Zero passes: 1769
Turn: L48    | Dial: 43 -> 95 | Zero passes: 1770
Turn: L78    | Dial: 95 -> 17 | Zero passes: 1770
Turn: R19    | Dial: 17 -> 36 | Zero passes: 1770
Turn: R86    | Dial: 36 -> 22 | Zero passes: 1771
Turn: R53    | Dial: 22 -> 75 | Zero passes: 1771
Turn: R86    | Dial: 75 -> 61 | Zero passes: 1772
Turn: R39    | Dial: 61 ->  0 | Zero passes: 1773  <== HIT 0!
Turn: R60    | Dial:  0 -> 60 | Zero passes: 1773
Turn: R40    | Dial: 60 ->  0 | Zero passes: 1774  <== HIT 0!
Turn: R64    | Dial:  0 -> 64 | Zero passes: 1774
Turn: R92    | Dial: 64 -> 56 | Zero passes: 1775
Turn: L774   | Dial: 56 -> 82 | Zero passes: 1783
Turn: L23    | Dial: 82 -> 59 | Zero passes: 1783
Turn: L31    | Dial: 59 -> 28 | Zero passes: 1783
Turn: R57    | Dial: 28 -> 85 | Zero passes: 1783
Turn: L15    | Dial: 85 -> 70 | Zero passes: 1783
Turn: L35    | Dial: 70 -> 35 | Zero passes: 1783
Turn: R50    | Dial: 35 -> 85 | Zero passes: 1783
Turn: L85    | Dial: 85 ->  0 | Zero passes: 1784  <== HIT 0!
Turn: L80    | Dial:  0 -> 20 | Zero passes: 1784
Turn: L36    | Dial: 20 -> 84 | Zero passes: 1785
Turn: R16    | Dial: 84 ->  0 | Zero passes: 1786  <== HIT 0!
Turn: R56    | Dial:  0 -> 56 | Zero passes: 1786
Turn: R80    | Dial: 56 -> 36 | Zero passes: 1787
Turn: L36    | Dial: 36 ->  0 | Zero passes: 1788  <== HIT 0!
Turn: L740   | Dial:  0 -> 60 | Zero passes: 1795
Turn: R97    | Dial: 60 -> 57 | Zero passes: 1796
Turn: R85    | Dial: 57 -> 42 | Zero passes: 1797
Turn: R29    | Dial: 42 -> 71 | Zero passes: 1797
Turn: R3     | Dial: 71 -> 74 | Zero passes: 1797
Turn: R326   | Dial: 74 ->  0 | Zero passes: 1801  <== HIT 0!
Turn: R64    | Dial:  0 -> 64 | Zero passes: 1801
Turn: R36    | Dial: 64 ->  0 | Zero passes: 1802  <== HIT 0!
Turn: R53    | Dial:  0 -> 53 | Zero passes: 1802
Turn: L18    | Dial: 53 -> 35 | Zero passes: 1802
Turn: L83    | Dial: 35 -> 52 | Zero passes: 1803
Turn: R71    | Dial: 52 -> 23 | Zero passes: 1804
Turn: R39    | Dial: 23 -> 62 | Zero passes: 1804
Turn: L62    | Dial: 62 ->  0 | Zero passes: 1805  <== HIT 0!
Turn: L81    | Dial:  0 -> 19 | Zero passes: 1805
Turn: L92    | Dial: 19 -> 27 | Zero passes: 1806
Turn: L27    | Dial: 27 ->  0 | Zero passes: 1807  <== HIT 0!
Turn: R4     | Dial:  0 ->  4 | Zero passes: 1807
Turn: R83    | Dial:  4 -> 87 | Zero passes: 1807
Turn: L187   | Dial: 87 ->  0 | Zero passes: 1809  <== HIT 0!
Turn: L39    | Dial:  0 -> 61 | Zero passes: 1809
Turn: R84    | Dial: 61 -> 45 | Zero passes: 1810
Turn: L292   | Dial: 45 -> 53 | Zero passes: 1813
Turn: L53    | Dial: 53 ->  0 | Zero passes: 1814  <== HIT 0!
Turn: L22    | Dial:  0 -> 78 | Zero passes: 1814
Turn: L78    | Dial: 78 ->  0 | Zero passes: 1815  <== HIT 0!
Turn: L51    | Dial:  0 -> 49 | Zero passes: 1815
Turn: L49    | Dial: 49 ->  0 | Zero passes: 1816  <== HIT 0!
Turn: L809   | Dial:  0 -> 91 | Zero passes: 1824
Turn: L391   | Dial: 91 ->  0 | Zero passes: 1828  <== HIT 0!
Turn: L471   | Dial:  0 -> 29 | Zero passes: 1832
Turn: R11    | Dial: 29 -> 40 | Zero passes: 1832
Turn: L40    | Dial: 40 ->  0 | Zero passes: 1833  <== HIT 0!
Turn: L609   | Dial:  0 -> 91 | Zero passes: 1839
Turn: R46    | Dial: 91 -> 37 | Zero passes: 1840
Turn: L837   | Dial: 37 ->  0 | Zero passes: 1849  <== HIT 0!
Turn: L1     | Dial:  0 -> 99 | Zero passes: 1849
Turn: L99    | Dial: 99 ->  0 | Zero passes: 1850  <== HIT 0!
Turn: L827   | Dial:  0 -> 73 | Zero passes: 1858
Turn: L59    | Dial: 73 -> 14 | Zero passes: 1858
Turn: R86    | Dial: 14 ->  0 | Zero passes: 1859  <== HIT 0!
Turn: R98    | Dial:  0 -> 98 | Zero passes: 1859
Turn: R10    | Dial: 98 ->  8 | Zero passes: 1860
Turn: L768   | Dial:  8 -> 40 | Zero passes: 1868
Turn: R55    | Dial: 40 -> 95 | Zero passes: 1868
Turn: R96    | Dial: 95 -> 91 | Zero passes: 1869
Turn: L91    | Dial: 91 ->  0 | Zero passes: 1870  <== HIT 0!
Turn: L34    | Dial:  0 -> 66 | Zero passes: 1870
Turn: R634   | Dial: 66 ->  0 | Zero passes: 1877  <== HIT 0!
Turn: L857   | Dial:  0 -> 43 | Zero passes: 1885
Turn: L43    | Dial: 43 ->  0 | Zero passes: 1886  <== HIT 0!
Turn: R28    | Dial:  0 -> 28 | Zero passes: 1886
Turn: L28    | Dial: 28 ->  0 | Zero passes: 1887  <== HIT 0!
Turn: R89    | Dial:  0 -> 89 | Zero passes: 1887
Turn: L28    | Dial: 89 -> 61 | Zero passes: 1887
Turn: R87    | Dial: 61 -> 48 | Zero passes: 1888
Turn: R52    | Dial: 48 ->  0 | Zero passes: 1889  <== HIT 0!
Turn: L85    | Dial:  0 -> 15 | Zero passes: 1889
Turn: R58    | Dial: 15 -> 73 | Zero passes: 1889
Turn: L73    | Dial: 73 ->  0 | Zero passes: 1890  <== HIT 0!
Turn: R3     | Dial:  0 ->  3 | Zero passes: 1890
Turn: R97    | Dial:  3 ->  0 | Zero passes: 1891  <== HIT 0!
Turn: L356   | Dial:  0 -> 44 | Zero passes: 1894
Turn: R93    | Dial: 44 -> 37 | Zero passes: 1895
Turn: L81    | Dial: 37 -> 56 | Zero passes: 1896
Turn: R29    | Dial: 56 -> 85 | Zero passes: 1896
Turn: L85    | Dial: 85 ->  0 | Zero passes: 1897  <== HIT 0!
Turn: L54    | Dial:  0 -> 46 | Zero passes: 1897
Turn: L846   | Dial: 46 ->  0 | Zero passes: 1906  <== HIT 0!
Turn: R39    | Dial:  0 -> 39 | Zero passes: 1906
Turn: L119   | Dial: 39 -> 20 | Zero passes: 1907
Turn: L41    | Dial: 20 -> 79 | Zero passes: 1908
Turn: R721   | Dial: 79 ->  0 | Zero passes: 1916  <== HIT 0!
Turn: R5     | Dial:  0 ->  5 | Zero passes: 1916
Turn: R456   | Dial:  5 -> 61 | Zero passes: 1920
Turn: L61    | Dial: 61 ->  0 | Zero passes: 1921  <== HIT 0!
Turn: R93    | Dial:  0 -> 93 | Zero passes: 1921
Turn: R207   | Dial: 93 ->  0 | Zero passes: 1924  <== HIT 0!
Turn: R6     | Dial:  0 ->  6 | Zero passes: 1924
Turn: L19    | Dial:  6 -> 87 | Zero passes: 1925
Turn: L62    | Dial: 87 -> 25 | Zero passes: 1925
Turn: R9     | Dial: 25 -> 34 | Zero passes: 1925
Turn: L78    | Dial: 34 -> 56 | Zero passes: 1926
Turn: L95    | Dial: 56 -> 61 | Zero passes: 1927
Turn: L66    | Dial: 61 -> 95 | Zero passes: 1928
Turn: L95    | Dial: 95 ->  0 | Zero passes: 1929  <== HIT 0!
Turn: L39    | Dial:  0 -> 61 | Zero passes: 1929
Turn: L91    | Dial: 61 -> 70 | Zero passes: 1930
Turn: L570   | Dial: 70 ->  0 | Zero passes: 1936  <== HIT 0!
Turn: R24    | Dial:  0 -> 24 | Zero passes: 1936
Turn: R76    | Dial: 24 ->  0 | Zero passes: 1937  <== HIT 0!
Turn: L42    | Dial:  0 -> 58 | Zero passes: 1937
Turn: L78    | Dial: 58 -> 80 | Zero passes: 1938
Turn: R18    | Dial: 80 -> 98 | Zero passes: 1938
Turn: L62    | Dial: 98 -> 36 | Zero passes: 1938
Turn: L36    | Dial: 36 ->  0 | Zero passes: 1939  <== HIT 0!
Turn: R54    | Dial:  0 -> 54 | Zero passes: 1939
Turn: L54    | Dial: 54 ->  0 | Zero passes: 1940  <== HIT 0!
Turn: R7     | Dial:  0 ->  7 | Zero passes: 1940
Turn: R94    | Dial:  7 ->  1 | Zero passes: 1941
Turn: R5     | Dial:  1 ->  6 | Zero passes: 1941
Turn: R66    | Dial:  6 -> 72 | Zero passes: 1941
Turn: R817   | Dial: 72 -> 89 | Zero passes: 1949
Turn: R30    | Dial: 89 -> 19 | Zero passes: 1950
Turn: R58    | Dial: 19 -> 77 | Zero passes: 1950
Turn: L81    | Dial: 77 -> 96 | Zero passes: 1951
Turn: R204   | Dial: 96 ->  0 | Zero passes: 1954  <== HIT 0!
Turn: L40    | Dial:  0 -> 60 | Zero passes: 1954
Turn: L60    | Dial: 60 ->  0 | Zero passes: 1955  <== HIT 0!
Turn: L49    | Dial:  0 -> 51 | Zero passes: 1955
Turn: R49    | Dial: 51 ->  0 | Zero passes: 1956  <== HIT 0!
Turn: R327   | Dial:  0 -> 27 | Zero passes: 1959
Turn: L68    | Dial: 27 -> 59 | Zero passes: 1960
Turn: L59    | Dial: 59 ->  0 | Zero passes: 1961  <== HIT 0!
Turn: R54    | Dial:  0 -> 54 | Zero passes: 1961
Turn: R98    | Dial: 54 -> 52 | Zero passes: 1962
Turn: R32    | Dial: 52 -> 84 | Zero passes: 1962
Turn: R75    | Dial: 84 -> 59 | Zero passes: 1963
Turn: R714   | Dial: 59 -> 73 | Zero passes: 1970
Turn: R98    | Dial: 73 -> 71 | Zero passes: 1971
Turn: L37    | Dial: 71 -> 34 | Zero passes: 1971
Turn: L34    | Dial: 34 ->  0 | Zero passes: 1972  <== HIT 0!
Turn: R48    | Dial:  0 -> 48 | Zero passes: 1972
Turn: R52    | Dial: 48 ->  0 | Zero passes: 1973  <== HIT 0!
Turn: L619   | Dial:  0 -> 81 | Zero passes: 1979
Turn: R9     | Dial: 81 -> 90 | Zero passes: 1979
Turn: R10    | Dial: 90 ->  0 | Zero passes: 1980  <== HIT 0!
Turn: L489   | Dial:  0 -> 11 | Zero passes: 1984
Turn: L97    | Dial: 11 -> 14 | Zero passes: 1985
Turn: L14    | Dial: 14 ->  0 | Zero passes: 1986  <== HIT 0!
Turn: R682   | Dial:  0 -> 82 | Zero passes: 1992
Turn: R18    | Dial: 82 ->  0 | Zero passes: 1993  <== HIT 0!
Turn: R74    | Dial:  0 -> 74 | Zero passes: 1993
Turn: L87    | Dial: 74 -> 87 | Zero passes: 1994
Turn: L45    | Dial: 87 -> 42 | Zero passes: 1994
Turn: R14    | Dial: 42 -> 56 | Zero passes: 1994
Turn: R46    | Dial: 56 ->  2 | Zero passes: 1995
Turn: L2     | Dial:  2 ->  0 | Zero passes: 1996  <== HIT 0!
Turn: R95    | Dial:  0 -> 95 | Zero passes: 1996
Turn: R545   | Dial: 95 -> 40 | Zero passes: 2002
Turn: R60    | Dial: 40 ->  0 | Zero passes: 2003  <== HIT 0!
Turn: L45    | Dial:  0 -> 55 | Zero passes: 2003
Turn: L96    | Dial: 55 -> 59 | Zero passes: 2004
Turn: R41    | Dial: 59 ->  0 | Zero passes: 2005  <== HIT 0!
Turn: L95    | Dial:  0 ->  5 | Zero passes: 2005
Turn: R58    | Dial:  5 -> 63 | Zero passes: 2005
Turn: R37    | Dial: 63 ->  0 | Zero passes: 2006  <== HIT 0!
Turn: R56    | Dial:  0 -> 56 | Zero passes: 2006
Turn: L50    | Dial: 56 ->  6 | Zero passes: 2006
Turn: L95    | Dial:  6 -> 11 | Zero passes: 2007
Turn: R889   | Dial: 11 ->  0 | Zero passes: 2016  <== HIT 0!
Turn: R80    | Dial:  0 -> 80 | Zero passes: 2016
Turn: R20    | Dial: 80 ->  0 | Zero passes: 2017  <== HIT 0!
Turn: R43    | Dial:  0 -> 43 | Zero passes: 2017
Turn: L24    | Dial: 43 -> 19 | Zero passes: 2017
Turn: R25    | Dial: 19 -> 44 | Zero passes: 2017
Turn: R84    | Dial: 44 -> 28 | Zero passes: 2018
Turn: R872   | Dial: 28 ->  0 | Zero passes: 2027  <== HIT 0!
Turn: L77    | Dial:  0 -> 23 | Zero passes: 2027
Turn: R77    | Dial: 23 ->  0 | Zero passes: 2028  <== HIT 0!
Turn: R357   | Dial:  0 -> 57 | Zero passes: 2031
Turn: L7     | Dial: 57 -> 50 | Zero passes: 2031
Turn: L89    | Dial: 50 -> 61 | Zero passes: 2032
Turn: L66    | Dial: 61 -> 95 | Zero passes: 2033
Turn: R66    | Dial: 95 -> 61 | Zero passes: 2034
Turn: L61    | Dial: 61 ->  0 | Zero passes: 2035  <== HIT 0!
Turn: L18    | Dial:  0 -> 82 | Zero passes: 2035
Turn: L33    | Dial: 82 -> 49 | Zero passes: 2035
Turn: R40    | Dial: 49 -> 89 | Zero passes: 2035
Turn: R11    | Dial: 89 ->  0 | Zero passes: 2036  <== HIT 0!
Turn: R40    | Dial:  0 -> 40 | Zero passes: 2036
Turn: L41    | Dial: 40 -> 99 | Zero passes: 2037
Turn: L81    | Dial: 99 -> 18 | Zero passes: 2037
Turn: R82    | Dial: 18 ->  0 | Zero passes: 2038  <== HIT 0!
Turn: L452   | Dial:  0 -> 48 | Zero passes: 2042
Turn: R453   | Dial: 48 ->  1 | Zero passes: 2047
Turn: R99    | Dial:  1 ->  0 | Zero passes: 2048  <== HIT 0!
Turn: L56    | Dial:  0 -> 44 | Zero passes: 2048
Turn: R17    | Dial: 44 -> 61 | Zero passes: 2048
Turn: R339   | Dial: 61 ->  0 | Zero passes: 2052  <== HIT 0!
Turn: L50    | Dial:  0 -> 50 | Zero passes: 2052
Turn: R97    | Dial: 50 -> 47 | Zero passes: 2053
Turn: R14    | Dial: 47 -> 61 | Zero passes: 2053
Turn: R699   | Dial: 61 -> 60 | Zero passes: 2060
Turn: L488   | Dial: 60 -> 72 | Zero passes: 2065
Turn: L72    | Dial: 72 ->  0 | Zero passes: 2066  <== HIT 0!
Turn: R40    | Dial:  0 -> 40 | Zero passes: 2066
Turn: L82    | Dial: 40 -> 58 | Zero passes: 2067
Turn: R24    | Dial: 58 -> 82 | Zero passes: 2067
Turn: R18    | Dial: 82 ->  0 | Zero passes: 2068  <== HIT 0!
Turn: R14    | Dial:  0 -> 14 | Zero passes: 2068
Turn: R86    | Dial: 14 ->  0 | Zero passes: 2069  <== HIT 0!
Turn: L29    | Dial:  0 -> 71 | Zero passes: 2069
Turn: L3     | Dial: 71 -> 68 | Zero passes: 2069
Turn: R32    | Dial: 68 ->  0 | Zero passes: 2070  <== HIT 0!
Turn: R86    | Dial:  0 -> 86 | Zero passes: 2070
Turn: L78    | Dial: 86 ->  8 | Zero passes: 2070
Turn: R358   | Dial:  8 -> 66 | Zero passes: 2073
Turn: L2     | Dial: 66 -> 64 | Zero passes: 2073
Turn: R36    | Dial: 64 ->  0 | Zero passes: 2074  <== HIT 0!
Turn: L3     | Dial:  0 -> 97 | Zero passes: 2074
Turn: R705   | Dial: 97 ->  2 | Zero passes: 2082
Turn: R98    | Dial:  2 ->  0 | Zero passes: 2083  <== HIT 0!
Turn: R38    | Dial:  0 -> 38 | Zero passes: 2083
Turn: L77    | Dial: 38 -> 61 | Zero passes: 2084
Turn: L720   | Dial: 61 -> 41 | Zero passes: 2091
Turn: R59    | Dial: 41 ->  0 | Zero passes: 2092  <== HIT 0!
Turn: L43    | Dial:  0 -> 57 | Zero passes: 2092
Turn: R95    | Dial: 57 -> 52 | Zero passes: 2093
Turn: L67    | Dial: 52 -> 85 | Zero passes: 2094
Turn: R15    | Dial: 85 ->  0 | Zero passes: 2095  <== HIT 0!
Turn: R47    | Dial:  0 -> 47 | Zero passes: 2095
Turn: L83    | Dial: 47 -> 64 | Zero passes: 2096
Turn: L36    | Dial: 64 -> 28 | Zero passes: 2096
Turn: R109   | Dial: 28 -> 37 | Zero passes: 2097
Turn: R63    | Dial: 37 ->  0 | Zero passes: 2098  <== HIT 0!
Turn: L7     | Dial:  0 -> 93 | Zero passes: 2098
Turn: R25    | Dial: 93 -> 18 | Zero passes: 2099
Turn: R52    | Dial: 18 -> 70 | Zero passes: 2099
Turn: R30    | Dial: 70 ->  0 | Zero passes: 2100  <== HIT 0!
Turn: R577   | Dial:  0 -> 77 | Zero passes: 2105
Turn: L294   | Dial: 77 -> 83 | Zero passes: 2108
Turn: L83    | Dial: 83 ->  0 | Zero passes: 2109  <== HIT 0!
Turn: R7     | Dial:  0 ->  7 | Zero passes: 2109
Turn: L59    | Dial:  7 -> 48 | Zero passes: 2110
Turn: L46    | Dial: 48 ->  2 | Zero passes: 2110
Turn: R52    | Dial:  2 -> 54 | Zero passes: 2110
Turn: R86    | Dial: 54 -> 40 | Zero passes: 2111
Turn: L99    | Dial: 40 -> 41 | Zero passes: 2112
Turn: L18    | Dial: 41 -> 23 | Zero passes: 2112
Turn: R12    | Dial: 23 -> 35 | Zero passes: 2112
Turn: L242   | Dial: 35 -> 93 | Zero passes: 2115
Turn: R7     | Dial: 93 ->  0 | Zero passes: 2116  <== HIT 0!
Turn: L52    | Dial:  0 -> 48 | Zero passes: 2116
Turn: L14    | Dial: 48 -> 34 | Zero passes: 2116
Turn: R66    | Dial: 34 ->  0 | Zero passes: 2117  <== HIT 0!
Turn: L12    | Dial:  0 -> 88 | Zero passes: 2117
Turn: R75    | Dial: 88 -> 63 | Zero passes: 2118
Turn: R75    | Dial: 63 -> 38 | Zero passes: 2119
Turn: R61    | Dial: 38 -> 99 | Zero passes: 2119
Turn: L86    | Dial: 99 -> 13 | Zero passes: 2119
Turn: L13    | Dial: 13 ->  0 | Zero passes: 2120  <== HIT 0!
Turn: L40    | Dial:  0 -> 60 | Zero passes: 2120
Turn: L502   | Dial: 60 -> 58 | Zero passes: 2125
Turn: L34    | Dial: 58 -> 24 | Zero passes: 2125
